留言领域,留言类型,留言内容,回复内容
旅游,投诉/求助,1.成都市某景区节假日以内部停车场满员为由截停外部车辆，然后当地村民违规载客、宰客，无证驾驶载游客进山，进景点。2.景区未经相关部门批准在东入口截断进山道路导致交通堵塞。,网友：您反映当天下午在四川省成都市丹景台景区（环山大道与规划道路交叉口）发现该景区存在节假日停车混乱、村民非法载客等问题。我们于2025年2月8日受理，并向您提供的联系邮箱（78284533@qq.com）发出受理告知书。一、关于“以内部停车场满员为由截停外部车辆，且存在当地村民违规带客进入景区”问题的调查结果经调查确认，丹景台景区内部建有P1（西门）、P2（东门）2个停车场，合计可容纳车辆约150辆，可满足工作日期间游客的停车需求。逢法定节假日景区内部停车场饱和后，工作人员及当地志愿者将引导车辆在景区外部道路上有序停放，以解决游客停车问题。因此，便有部分当地村民“钻空子”，诱导游客声称有“捷径”可直接进入景区，以此谋取不正当利益。这种行为不仅严重干扰了景区的正常秩序，也对属地造成了较大的负面影响。为切实解决此类问题，近年来，丹景台景区与属地政府先后开展数次联合执法，并现场处置数名村民，也在一定程度上起到了以儆效尤的作用。但每逢国庆、春节等大假，为了非法牟利，部分村民仍顶风作案，屡禁不止。并且，为防止未经许可的带路行为，丹景台景区在村民通往景区入口的“捷径”上增设了防护隔离网，却屡遭部分村民使用尖锐工具反复的人为破坏。下一步，景区将再次与属地政府联合，积极开展专项整治行动。一方面，加大巡查力度，提高执法频率，在景区入口、周边道路以及村民聚居地等关键区域布下严密“法网”，一旦发现违规行为，立即依法依规严肃处理；另一方面，加强对村民法律法规的教育宣传，共同营造一个安全、有序、和谐的游览环境。二、关于“景区未经交管部门批准在东入口截断进山道路导致交通堵塞”问题的调查结果，经调查确认，丹景台景区不存在于东入口截断进山道路情况。从丹景台东入口起均属于景区管理范畴，但鉴于上山道路狭窄，为保障接驳车的有序运行，避免安全隐患，景区于东入口处设置安保岗亭，采取临时交通疏导措施，并非恶意截断。
治安,投诉/求助,在居民楼在公司，有不明人员来面试半夜唱歌扰民消防通道堆放垃圾，存在隐患。,网友：您好！您在网上反映的相关问题，经四川天府新区万安街道调查后，现将有关情况回复如下：经调查核实，接到您的反映后，社区工作人员与碧桂园海昌天澜物业上门进行沟通劝导，告知其不要有噪音扰民行为。如发现存在夜间扰民行为可联系万安派出所，社区会继续关注此事。2025年2月5日，四川天府新区万安街道工作人员与您取得联系，您表示对答复满意。感谢您的留言，如还有疑问，请联系四川天府新区万安街道办事处，联系电话：85611314。
环保,投诉/求助,我家住在平吉镇钦灵路，过年回家发现自来水洗澡水一股异味特别重，影响正常生活，希望领导帮助尽快解决一下用水问题。,网友您好！您反映的问题经我局调查，现答复如下：经我局工作人员与平吉镇政府、皇马资产经营集团等于2025年2月6日到平吉镇自来水厂现场调查，经调查，自来水厂水质清澈、无明显异味。据了解，此前群众反映自来水用水异味严重主要原因是平吉自来水厂水源处上下游水流不畅通，水厂水源下游处排污口污水未能及时往下游冲流，影响水质。我单位已同平吉镇政府、皇马资产经营集团与运河集团协调水厂水源上下游水流通畅问题，目前水厂自来水异味问题得以很大改善。下一步为保障群众饮水安全，一是协调运河集团继续挖大水源段上下游运河拦水堤缺口，增加水流速度。二是督促水厂继续加强水源点钦江段巡逻和自来水水质监测，及时发现问题及时处理。三是协助皇马资产经营集团尽快完成平吉镇自来水厂取水口改迁工程建设相关工作。感谢您对钦北区经济社会发展的关注和支持，希望您理解和支持我们的工作。
三农,投诉/求助,尊敬的领导您好，我是武山县榆盘镇榆盘村六组村民，我村自从接入自来水多年以来，一到天就水管冰冻没有水。希望领导重视，帮助尽快解决我们的吃水问题。,网友，您好！您的留言已收悉，现答复如下：经县水务局工作组核查，榆盘镇榆盘村六组村内自来水管道由于2024年实施巷道硬化期间，对部分主巷道取平地基后导致自来水管道埋的深度不够，在2024年冬季村委会和村级水管员多次宣传，如冬季发生部分冻管，停水群众临时到邻居家取水或者邻居家通过小电井取水，县水务局已将该村冻管区域列入2025年改造计划，由于目前冻土层未消融无法施工，计划在春季消融后开挖更换村内部分埋深不够的主管道，以彻底解决村内冻管问题。给大家带来不便，敬请谅解。感谢您的留言，欢迎您继续提出宝贵意见和建议。
交通,投诉/求助,尊敬的领导您好。本人想咨询了解一下政策，如果原来是油车换电车的话，一般旧车可以通过怎么样的置换方式购买新车最划算？另外就是如果旧车是油车换了油车，车牌从蓝牌变成绿牌，原来油车的蓝牌是要作废还是能怎么样的一个处理方式？最后一个想咨询了解一下某汽车官网上面的官方二手车和购买新车的区别在哪？是否有套路？全款买车和分期买车具体什么区别。恳求领导转相关部门解答疑问，谢谢。,网友，您好！您的留言收悉，现答复如下：关于您咨询置换车辆后能否保留原号牌号码问题，交警部门已于4月25日上午联系告知您：按照《机动车登记规定》第四十四条规定：办理机动车变更登记、转让登记或者注销登记后，原机动车所有人申请机动车登记时，可以向车辆管理所申请使用原机动车号牌号码。申请使用原机动车号牌号码应当符合下列条件：（一）在办理机动车迁出、共同所有人变更、转让登记或者注销登记后两年内提出申请；（二）机动车所有人拥有原机动车且使用原号牌号码一年以上；（三）涉及原机动车的道路交通安全违法行为和交通事故处理完毕。感谢您的留言。
企业,投诉/求助,本人在大东区前进街道新希望锦官天宸小区的房子，温度低，地热不热，同样华*供暖公司供暖的同园区洋房温度比我家高出4-5度，要求换热站加热。,您好！经查，您反映的供暖不热问题，由华瑞供热有限责任公司负责供暖。经了解，华瑞供热公司正常运行。华瑞供热公司安排维修人员已进行供热系统的排气处理，并测量室内温度在20度，如室内系统故障，再次与华瑞供热公司联系，提供闭阀门服务，室内维修由用户进行处理。如有其它供暖问题可与华瑞供暖公司联系，联系电话：024-88201100。感谢您的信任和支持！
医疗,投诉/求助,随着城市的发展，城东区域没有像样的综合性三甲医院，区域看病难看病贵看病远的问题日益突出，建议在新城区科技城二环范围内建设三甲医院，最好引入区外优秀医院合作，科技城的发展，离不开教育，医疗卫生事业的发展。同时绿化环境，口袋公园应该加强完善，补短板,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！
城建,投诉/求助,能不能把滨河西路*酒店，丁字路口摆摊的商贩们集中到一个地方呀，这边车流量较大，有安全隐患,
政务,投诉/求助,某家具城的步梯作为入口，内部昏暗老旧，环境卫生较差，空气也差，建议维护一下环境，并将入口的门口整得显眼一些，以吸引更多的人们。,网民：　　您好！您在人民网“领导留言板”的留言收悉，您反映的问题我及时作出了安排，要求有关部门进行办理。　　经核实，八角楼是惠农区重要的历史地标建筑，承载着深厚悠久的历史文化价值。为有效保护这一宝贵遗产，我区于2024年对其进行升级改造，并顺利对外开放，使其重焕昔日风采。因八角楼的产权属个人所有，在改造初期，我区相关部门已与产权人就改造及内部装修事宜进行沟通，但产权人资金有限，暂不具备修缮的条件，其表示待条件成熟后实施装修计划。目前，产权人已将八角楼卫生重新打扫，定期通风，保持内部干净、整洁。后期，我区将继续监督并鼓励产权方根据自身的生产经营状况，逐步推进步梯入口改造、电梯加装等工作，并不断完善其他内部设施，以确保八角楼能够得到妥善维护与发展。　　感谢您对我们工作的支持和理解！如还有其他疑问，请与惠农区综合执法局联系，联系电话0952-7809793。
教育,投诉/求助,尊敬的领导:希望能快点搬迁，希望快点入住新校区。,
文娱,投诉/求助,极*主场电玩城全都是未成年打游戏，影响健康成长。,网友您好！根据《娱乐场所管理条例》第二十三条歌舞娱乐场所不得接纳未成年人。除国家法定节假日外，游艺娱乐场所设置的电子游戏机不得向未成年人提供。游艺娱乐场所可以在国家法定节假日向未成年人开放，但应遵守相关规定，如内容健康等，2025年1月31日属于国家法定节假日，该场所这时段开放符合相关规定。佛山市文化广电旅游体育局三水综合执法支队的队员工作人员已于2025年2月10日向您致电解释该事件相关法律法规，下一步，佛山市文化广电旅游体育局三水综合执法支队继续增加对游艺场所的检查频率，确保其遵守未成年人保护相关规定。如需进一步咨询或反映问题，请拨打佛山市文化广电旅游体育局三水综合执法支队电话：0757-87752233。感谢您的理解与支持。
旅游,投诉/求助,地址：苏州平江路肖家巷*号，有摊贩无证经营卖臭豆腐，并且占道经营，没有健康证，食品经营许可证，存在食品安全卫生隐患，油炸臭豆腐造成空气污染。,姑苏区回复：平江街道：该处确实存在无证摊贩情况，现属地执法中队已对此处落实长效管理，安排人员定期定点巡查。近期已无类似无证经营行为再次发生。经走访发现，此经营户家庭条件比较困难，经营者身体常年患病，不能从事普通工作，且经营者儿子身患癌症，孙子脑瘫，需要定期复健，经营者带小孩居住此处，只能以贩卖简易传统现场制售类食品补贴家用。目前执法中队已经联系社区，研究是否有其他解决方案。因经营户确实家庭困难、情况特殊，下一步将联合社区、民政部门等积极跟进争取能够解决当事人的实际困难。
治安,投诉/求助,雁塔区西沣四路与沈家桥二路十字东50米店名：*鸭子晚上喇叭噪音扰民,杜城执法中队于2025年3月5日19:37分前去处理，已于现场关闭扰民喇叭，同时明确告知商户，禁止噪音扰民。
环保,投诉/求助,近期村屯的环保卫生没有及时清理，生活垃圾堆积严重，臭气熏天，恳请领导督促及时清理，感谢。,尊敬的网友：您好，您所反映近期古龙屯生活垃圾堆积严重没有及时清理的问题，经核实，现回复如下：目前我县农村生活垃圾的转动处置统一由县住建部门委托的隆安建中城市服务有限公司负责，平时基本能实现生活垃圾“日产两清”要求，但随着今年春节期间返乡人员增加，各村屯生活垃圾产生量随之骤增，而该公司的人员和设备有限导致清运不及时，您反映的春节期间古潭乡古潭社区古龙屯等部分村屯生活垃圾堆积情况确实存在，我县已及时督促该公司增派人手、提高清运频次，目前各村屯垃圾堆积问题已全面解决。下步，我县将加强对第三方公司的监督管理，强化节假日期间环境卫生的保障力度，为群众创造干净、整洁、有序的生活环境。感谢您对我们工作的关心和支持！祝您生活愉快！
三农,投诉/求助,冯*等人破坏耕地，长期在?龊?村和水吴村，基本农田挖沙侵倒建筑垃圾土回填，破坏耕地20亩左右。,您好！首先感谢您对我们工作的关注和支持。经县资源规划局现场勘查，发现水吴新村西侧有倾倒垃圾痕迹，遂立即联同县城管执法局、??湖镇政府进行调查核实，目前，??湖镇政府对倾倒的垃圾正在进行清理。建议您及时接听电话，便于相关单位了解具体情况。您也可以向县城管执法局、县资源规划局、??湖镇政府提供相关证据材料，便于调查核实。如有需要，您可联系县城管执法局，联系电话：029-82752276；县资源规划局，联系电话：029―82751531；??湖镇政府，联系电话：029-82842003。2025年02月14日10:20联系您告知相关情况。??欢迎您继续关注并监督我们的工作。承办人：惠渊，联系电话：82842003。
交通,投诉/求助,尊敬的领导，您好。向有关部门反映一个居民日常出行安全的问题，并提出一些建议，恳请予以重视和解决。在G345启那线王营路口公交车站附近，斑马线的设置虽为行人提供了过马路的便利，但由于该路段是国道，过往车辆速度较快，且周边多为居民楼，居住着许多老人和小孩。由于缺乏红绿灯等有效监管措施，部分车辆并不会主动礼让行人，存在交通安全隐患。为了提高行人通行效率和安全性，建议在该路口增设手按式红绿灯。这种红绿灯可以根据行人的需求灵活控制信号灯的切换，既能保障行人安全通行，又不会对车辆的正常行驶造成过多干扰。同时，建议安装不礼让行人拍照设备，并在路口设置醒目的告示牌，提醒过往车辆减速慢行、礼让行人。望将我的建议纳入考虑范围，实地考察该路段情况，尽快采取相应的措施。,网友您好，您反映的问题现答复如下：您提议在G345启那线王营路口设置醒目的告示牌，提醒过往车辆减速慢行、礼让行人。经工作人员实地查看，该路口现已设有“T”型路口标志、人行横道标志、黄闪灯和爆闪灯，该路口标志、设施齐全。关于您建议安装红绿灯及不礼让行人拍照设备的事宜，因临泉县G345国道在道路设计建设时，未在沿线路段王营路口设计规划信号灯，道路交通信号灯的安装需符合《道路交通信号灯设置与安装规范》要求。经实地核查，该路口不符合安装信号灯的条件。下一步，县交管大队辖区中队将加大对G345国道王营段交通秩序的巡查管控，严厉打击交通违法行为，确保畅通安全有序的道路交通环境。工作人员于2月13日与您沟通联系，您对处理结果表示认可。谢谢您对我们工作的关心和支持！如有不清楚的地方，请与临泉县交通运输局、临泉县公安局交通管理大队联系。联系人：常萍萍联系电话：0558-5396898联系人：胡凤亮联系电话：0558-6483526\t
